dep,salaries2021_iaa,salaries2021_produits_laitiers,salaries2021_viande,salaries2021_boissons
72,9439,710,7071,188
973,349,78,35,56
76,6809,532,614,259
83,1476,37,27,600
55,1879,1272,170,33
09,568,155,181,64
12,4211,1070,1233,26
31,3203,569,389,188
06,1303,72,87,75
68,3346,203,382,872
56,16506,673,5873,100
40,5405,5,1870,165
46,3077,288,804,50
02,4732,824,109,206
82,1574,360,242,34
17,2971,505,360,528
30,4631,20,311,1813
34,2775,48,100,976
13,6032,340,649,1199
47,4000,314,266,190
03,2841,41,1769,190
18,1584,722,326,300
14,7069,2388,1553,268
43,2510,764,912,39
57,3186,577,1197,100
32,2496,157,1074,337
35,17016,3696,7215,233
86,1777,493,345,21
74,4172,1449,355,1484
79,5392,1344,2858,8
84,4715,44,389,791
42,6669,839,2138,488
41,2415,221,718,51
16,3798,214,280,2669
07,2179,190,585,239
05,412,118,53,67
972,1789,230,188,625
2B,841,227,149,266
62,15912,1730,2045,532
65,1467,9,1031,16
974,4921,731,917,755
75,2917,388,661,488
37,1268,331,151,203
36,1469,393,128,38
52,1161,1063,12,13
87,1486,50,1064,33
01,3387,769,979,90
64,5228,1159,1504,290
81,2897,103,1532,367
94,3241,210,302,355
85,16463,627,5152,74
971,2027,148,303,346
88,3881,1816,375,1054
78,1217,139,165,67
89,2860,809,820,222
53,6190,2275,2677,19
91,2276,24,142,312
28,1900,463,409,16
90,60,,13,0
25,3372,1547,497,56
04,1025,52,207,99
95,1042,20,254,21
70,1370,628,410,129
60,2212,285,410,37
33,5433,420,479,2286
93,2013,46,261,189
69,5250,194,1029,524
77,2794,234,195,222
61,4472,1327,2104,216
11,1774,65,215,807
19,2504,59,734,49
23,388,195,14,0
26,6859,125,838,955
39,3148,1881,227,136
49,9678,702,3919,853
27,2315,143,366,180
29,14795,2539,5125,261
2A,406,12,135,37
71,4744,550,2139,298
08,756,219,168,82
50,6030,2304,825,123
44,10643,2698,2495,407
21,3565,271,247,1313
10,2226,65,422,473
54,1414,94,98,272
51,8996,0,499,5540
67,11742,571,1726,2566
38,4420,1174,899,540
58,537,0,141,17
59,13141,1185,1480,1706
73,2691,652,473,324
48,782,464,176,39
66,2294,170,315,648
45,5654,192,628,953
22,15194,1275,8025,202
63,3885,819,535,1025
80,5160,321,707,12
24,3631,746,1503,191
15,1741,898,343,78
92,8168,2781,0,2626
,425639,,,
