secteur,Chiffre d'affaires,Effectifs,Valeur ajoutée,ca,eft,va
Boissons,4,4,1,32338,53063,9338
Autres produits alimentaires,3,3,2,32504,79581,7835
Produits laitiers,1,2,3,43440,85962,7217
Transformation de viande,2,1,4,38509,107479,6717
Boulangerie-pâtisserie et pâtes,5,5,5,13471,49739,3508
Fruits et légumes transformés,8,6,6,11483,29859,2271
Aliments pour animaux,6,8,7,12040,17816,1979
Farines et amylacés,9,7,8,11415,18661,1756
Huiles et graisses,7,10,9,11560,9426,1227
Produits de la mer,10,9,10,4907,11746,865
